rep,trip,date,species,pod,month,day,time,type,month_char,month_split,mpa_mean,mpa_sd,mpa_se
1,1,2014-04-08,ceco,3,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,arpa,3,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,cade,3,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,abco,3,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
2,1,2014-04-08,ceco,3,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,cade,3,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,abco,3,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,arpa,3,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
1,1,2014-04-08,ceco,4,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,abco,4,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,cade,4,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,arpa,4,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
2,1,2014-04-08,arpa,4,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,ceco,4,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,abco,4,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,cade,4,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
1,1,2014-04-08,abco,5,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,cade,5,4,8,pd,tree,Apr,early April,-0.8200000000000001,0.11595018087284058,0.03666666666666667
1,1,2014-04-08,arpa,5,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
1,1,2014-04-08,ceco,5,4,8,pd,shrub,Apr,early April,-0.9777777777777777,0.31135902820449013,0.10378634273483005
2,1,2014-04-08,abco,5,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,cade,5,4,8,pd,tree,Apr,early April,-0.755,0.10394977419675118,0.03287180487219337
2,1,2014-04-08,ceco,5,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
2,1,2014-04-08,arpa,5,4,8,pd,shrub,Apr,early April,-0.975,0.4621378891320518,0.16339041762425535
1,2,2014-04-30,arpa,1,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,cade,1,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,ceco,1,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,abco,1,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
2,2,2014-04-30,abco,1,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,ceco,1,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,arpa,1,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,cade,1,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
1,2,2014-04-30,abco,2,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,cade,2,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,arpa,2,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,ceco,2,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
2,2,2014-04-30,abco,2,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,arpa,2,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,cade,2,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,ceco,2,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
1,2,2014-04-30,cade,3,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,abco,3,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,ceco,3,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,arpa,3,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
2,2,2014-04-30,arpa,3,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,abco,3,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,ceco,3,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,cade,3,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
1,2,2014-04-30,abco,4,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,cade,4,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,arpa,4,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,ceco,4,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
2,2,2014-04-30,abco,4,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,ceco,4,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,cade,4,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,arpa,4,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
1,2,2014-04-30,abco,5,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,arpa,5,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
1,2,2014-04-30,cade,5,4,30,pd,tree,Apr,late April,-0.9777777777777777,0.15023130314433292,0.05007710104811097
1,2,2014-04-30,ceco,5,4,30,pd,shrub,Apr,late April,-0.75,0.2070196678027063,0.073192505471139993
2,2,2014-04-30,abco,5,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,arpa,5,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
2,2,2014-04-30,cade,5,4,30,pd,tree,Apr,late April,-0.9,0.17728105208558365,0.06267831705280086
2,2,2014-04-30,ceco,5,4,30,pd,shrub,Apr,late April,-0.83125,0.2548634087954902,0.09010782231780513
1,3,2014-05-11,ceco,1,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,arpa,1,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,cade,1,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,abco,1,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
2,3,2014-05-11,ceco,1,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,cade,1,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,abco,1,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,arpa,1,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
1,3,2014-05-11,ceco,2,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,arpa,2,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,abco,2,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,cade,2,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
2,3,2014-05-11,ceco,2,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,abco,2,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,cade,2,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,arpa,2,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
1,3,2014-05-11,abco,3,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,arpa,3,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,ceco,3,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,cade,3,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
2,3,2014-05-11,abco,3,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,ceco,3,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,cade,3,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,arpa,3,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
1,3,2014-05-11,abco,4,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,cade,4,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,arpa,4,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,ceco,4,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
2,3,2014-05-11,abco,4,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,ceco,4,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,arpa,4,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,cade,4,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
1,3,2014-05-11,ceco,5,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,abco,5,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
1,3,2014-05-11,arpa,5,5,11,pd,shrub,May,early May,-1.125,0.46502688094345684,0.14705441169852743
1,3,2014-05-11,cade,5,5,11,pd,tree,May,early May,-0.9777777777777777,0.16029486718059455,0.05343162239353152
2,3,2014-05-11,ceco,5,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,abco,5,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
2,3,2014-05-11,arpa,5,5,11,pd,shrub,May,early May,-1.06875,0.26983791431153636,0.09540210951546095
2,3,2014-05-11,cade,5,5,11,pd,tree,May,early May,-1.0222222222222221,0.15229722402080886,0.05076574134026962
1,4,2014-06-01,ceco,1,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,arpa,1,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,abco,1,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,cade,1,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
2,4,2014-06-01,ceco,1,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,arpa,1,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,abco,1,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,cade,1,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
1,4,2014-06-01,cade,2,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,abco,2,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,arpa,2,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,ceco,2,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
2,4,2014-06-01,abco,2,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,cade,2,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,ceco,2,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,arpa,2,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
1,4,2014-06-01,abco,3,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,ceco,3,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,cade,3,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,arpa,3,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
2,4,2014-06-01,abco,3,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,cade,3,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,arpa,3,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,ceco,3,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
1,4,2014-06-01,cade,4,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,abco,4,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,ceco,4,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,arpa,4,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
2,4,2014-06-01,abco,4,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,cade,4,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,ceco,4,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,arpa,4,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
1,4,2014-06-01,ceco,5,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
1,4,2014-06-01,abco,5,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,cade,5,6,1,pd,tree,Jun,early June,-0.625,0.17519830034690534,0.055402567128648876
1,4,2014-06-01,arpa,5,6,1,pd,shrub,Jun,early June,-0.51,0.15238839267549947,0.04818944098266986
2,4,2014-06-01,abco,5,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
2,4,2014-06-01,arpa,5,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,ceco,5,6,1,pd,shrub,Jun,early June,-0.51,0.07378647873726218,0.02333333333333333
2,4,2014-06-01,cade,5,6,1,pd,tree,Jun,early June,-0.605,0.10124228365658292,0.03201562118716424
1,5,2014-06-26,cade,1,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,abco,1,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,arpa,1,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-26,ceco,1,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-26,cade,1,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,abco,1,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,arpa,1,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-26,ceco,1,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-26,cade,2,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,abco,2,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,ceco,2,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-26,arpa,2,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-26,abco,2,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,cade,2,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,arpa,2,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-26,ceco,2,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-26,abco,3,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,ceco,3,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-26,cade,3,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,arpa,3,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-26,abco,3,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,arpa,3,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-26,cade,3,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,ceco,3,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-26,abco,4,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,cade,4,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,ceco,4,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-26,arpa,4,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-26,arpa,4,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-26,abco,4,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,cade,4,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,ceco,4,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
3,5,2014-06-26,abco,4,6,26,pd,tree,Jun,late June,-0.625,0.24748737341529167,0.17500000000000002
1,5,2014-06-26,abco,5,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,arpa,5,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-26,cade,5,6,26,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-26,ceco,5,6,26,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-26,cade,5,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,ceco,5,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-26,abco,5,6,26,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-26,arpa,5,6,26,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
3,5,2014-06-26,cade,5,6,26,pd,tree,Jun,late June,-0.625,0.24748737341529167,0.17500000000000002
1,5,2014-06-27,abco,1,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,cade,1,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,ceco,1,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-27,arpa,1,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-27,abco,1,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,cade,1,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,arpa,1,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-27,ceco,1,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-27,abco,2,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,arpa,2,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-27,cade,2,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,ceco,2,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-27,cade,2,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,abco,2,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,arpa,2,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-27,ceco,2,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-27,abco,3,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,cade,3,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,arpa,3,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-27,ceco,3,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-27,cade,3,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,abco,3,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,arpa,3,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-27,ceco,3,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-27,abco,4,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,cade,4,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,arpa,4,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-27,ceco,4,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
2,5,2014-06-27,cade,4,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,abco,4,6,27,pd,tree,Jun,late June,-0.6825,0.13206358117847708,0.02953031448671365
2,5,2014-06-27,ceco,4,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
2,5,2014-06-27,arpa,4,6,27,pd,shrub,Jun,late June,-0.4789473684210526,0.1465489958584995,0.033620645432871576
1,5,2014-06-27,abco,5,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,cade,5,6,27,pd,tree,Jun,late June,-0.6825,0.11387319817743724,0.025462821194005482
1,5,2014-06-27,arpa,5,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
1,5,2014-06-27,ceco,5,6,27,pd,shrub,Jun,late June,-0.4225,0.10320521202668828,0.02307738697239538
